,mse,psnr,ssim,method,img_id
34,1578.819371541341,16.14747914475888,0.9015394999946654,our,88.0
35,1633.8456013997395,15.998693476117428,0.8432557149962522,ucmr,88.0
36,3073.512410481771,13.25445389777434,0.8506972094702977,our,103.0
37,3334.033701578776,12.901103753532128,0.723208788787394,ucmr,103.0
38,2387.104939778646,14.352088493747608,0.838865394082582,our,104.0
39,2765.886957804362,13.712459344095155,0.6974112172132326,ucmr,104.0
40,2804.0681762695312,13.652917922945056,0.8351407556172387,our,127.0
41,2314.5619303385415,14.486115552502854,0.7327735831155398,ucmr,127.0
42,4077.3836466471353,12.02698784126801,0.8215023247117884,our,132.0
43,5669.627838134766,10.595258087032335,0.6710308695699547,ucmr,132.0
44,2278.941691080729,14.553471473882116,0.8593565625731229,our,135.0
45,2101.181650797526,14.906167613278242,0.8220567866011074,ucmr,135.0
46,3725.5637003580728,12.41888367425677,0.7779666307507784,our,136.0
47,3630.651107788086,12.530958440515565,0.6542370398036653,ucmr,136.0
48,2018.646275838216,15.080201359857499,0.8473463940566749,our,137.0
49,2578.6212056477866,14.016928110445608,0.6848025539506423,ucmr,137.0
50,3196.3568827311196,13.084250972510441,0.8059586724225073,our,144.0
51,3709.9471028645835,12.437126434625128,0.6484411326589895,ucmr,144.0
52,716.2801971435547,19.579974163966597,0.9127292545231178,our,159.0
53,910.489247639974,18.538055394774435,0.8547407456696329,ucmr,159.0
54,1838.7738952636719,15.485520313451172,0.8489068603644593,our,165.0
55,1770.1095428466797,15.650802174542587,0.7840412716134558,ucmr,165.0
56,6915.515060424805,9.732558294131652,0.6835729068564343,our,189.0
57,10414.975667317709,7.954221012324407,0.4582495706638914,ucmr,189.0
58,1075.416030883789,17.815038547892254,0.9121568527028209,our,217.0
59,1609.9532012939453,16.06267108882766,0.8909116443303171,ucmr,217.0
60,5785.778610229492,10.507185492875728,0.7747944949587023,our,227.0
61,7903.430811564128,9.152647051357443,0.5901353774142201,ucmr,227.0
62,1377.8787790934246,16.73869349309754,0.8605659687458873,our,240.0
63,1294.1228281656902,17.01104862693637,0.8009423818196965,ucmr,240.0
64,6739.719385782878,9.844385461935802,0.6949373179581343,our,261.0
65,8667.121032714844,8.75205499521177,0.5104237259118933,ucmr,261.0
66,2177.979731241862,14.750265270692624,0.8527294955131174,our,267.0
67,2592.3552449544272,13.99385845786654,0.7869976993233769,ucmr,267.0
68,4713.7559814453125,11.397132643628428,0.7639277647362827,our,275.0
69,4688.100372314453,11.420834595055604,0.5698451147827573,ucmr,275.0
70,816.4033406575521,19.011755877217553,0.8937466531531882,our,279.0
71,1106.4495493570964,17.691487446248214,0.819644018623687,ucmr,279.0
72,3430.981043497721,12.776620423241472,0.835085669141391,our,286.0
73,3991.5967610677085,12.119336993168535,0.7099196702263466,ucmr,286.0
74,1060.8823903401692,17.87413120281739,0.9064722340558466,our,288.0
75,1512.4281819661458,16.334055996368445,0.8362943260399813,ucmr,288.0
76,633.0993957519531,20.116084618492316,0.9308824315060851,our,291.0
77,1015.8909352620443,18.06233275711704,0.8731557447280536,ucmr,291.0
78,939.7387186686198,18.400732400488334,0.8447199621469929,our,298.0
79,1133.2887369791667,17.5873978824967,0.7622146337371963,ucmr,298.0
80,2628.236358642578,13.934159418985715,0.8555513253741859,our,306.0
81,2325.398396809896,14.4658299215208,0.7849393450321124,ucmr,306.0
82,1800.283950805664,15.577393510188829,0.8966673124298182,our,312.0
83,1574.5281219482422,16.159299390850116,0.8585937444191302,ucmr,312.0
84,1042.8081614176433,17.948759394027114,0.9116837241470216,our,322.0
85,2435.081817626953,14.265668029776448,0.8040854033849018,ucmr,322.0
86,861.0912831624349,18.78031167982932,0.8803336931484984,our,327.0
87,1320.2703552246094,16.924174889349267,0.7751132302015719,ucmr,327.0
88,1019.9844614664713,18.044868051361597,0.9115615475307326,our,335.0
89,1592.9705200195312,16.108726221736912,0.8134408829935179,ucmr,335.0
90,1403.2667846679688,16.659401152888076,0.9031420264584923,our,337.0
91,1758.1162872314453,15.680327636041692,0.8174617829744909,ucmr,337.0
92,1360.6909790039062,16.793208553205233,0.9032321950349518,our,357.0
