,mse,psnr,ssim,method,img_id
0,5662.487869262695,10.60073076234292,0.8141545762150991,our,0.0
1,4546.321711222331,11.554201964246031,0.8295581277132412,ucmr,0.0
2,2512.399612426758,14.129916431319478,0.8659507410690592,our,1.0
3,2502.71511332194,14.14668944641165,0.779919096061325,ucmr,1.0
4,2171.947764078776,14.762309847232657,0.8649429991799976,our,2.0
5,3231.143758138021,13.03724080047055,0.7515334254701144,ucmr,2.0
6,2789.6001892089844,13.675383970432886,0.8479012875675599,our,3.0
7,3102.46066792806,13.213740765182818,0.7639410555367995,ucmr,3.0
8,2399.1341552734375,14.330258272535756,0.8883032340150324,our,4.0
9,4162.014205932617,11.937768026406403,0.8464090603384963,ucmr,4.0
10,2404.878428141276,14.319872341380611,0.8895059909951725,our,5.0
11,3481.820281982422,12.712740100997026,0.8424938194121955,ucmr,5.0
12,1243.7142384847004,17.183597545529587,0.9150134970700425,our,6.0
13,1666.4789632161458,15.912805251496751,0.8516720323450304,ucmr,6.0
14,4538.262105305989,11.561907861103375,0.7925499124952382,our,7.0
15,5082.634750366211,11.069914594280325,0.7498505886523062,ucmr,7.0
16,3800.412139892578,12.33249664152316,0.8220792908283315,our,8.0
17,4759.01752726237,11.355630565778075,0.7797937536851164,ucmr,8.0
18,6957.517028808594,9.70626082906953,0.7682880925726433,our,9.0
19,4910.657989501953,11.21940672805203,0.6574805363977904,ucmr,9.0
20,1789.250264485677,15.604092707848302,0.8989960476929739,our,10.0
21,2473.42653910319,14.197813445448624,0.8371458484575762,ucmr,10.0
22,2010.8221435546875,15.097067017523644,0.8817393585235163,our,11.0
23,2847.2964223225913,13.586476784495387,0.7860962883171639,ucmr,11.0
24,1585.1417744954426,16.13012249438758,0.9021141730056272,our,12.0
25,2425.283462524414,14.283178554489313,0.8376764684272248,ucmr,12.0
26,2784.7674865722656,13.682914211477986,0.8446574255127594,our,13.0
27,2100.3584594726562,14.907869405693086,0.8011837279098922,ucmr,13.0
28,2822.897547403971,13.623852444654235,0.8791347521944012,our,14.0
29,4116.9486897786455,11.985049065215932,0.8295323470905261,ucmr,14.0
30,3801.948211669922,12.330741640510485,0.8267044278727762,our,15.0
31,3692.035817464193,12.458144552822912,0.7344414380280457,ucmr,15.0
32,3824.1619669596353,12.305440829471127,0.8479067307657134,our,16.0
33,3076.2694193522134,13.250559926077985,0.8327208379022322,ucmr,16.0
34,2152.4389139811196,14.801495258048742,0.8080998180330882,our,17.0
35,3329.8028106689453,12.906618453117542,0.6591038754777611,ucmr,17.0
36,1237.60791015625,17.204972843797087,0.9032798088854127,our,18.0
37,3606.652414957682,12.55976070930922,0.8113517660548196,ucmr,18.0
38,6958.375686645508,9.705724880182148,0.7040029628448683,our,19.0
39,6975.803675333659,9.69486111408859,0.6308767958315403,ucmr,19.0
40,3442.63796488444,12.76189007091487,0.8607895486480434,our,20.0
41,3853.858657836914,12.271845782202773,0.826652628292751,ucmr,20.0
42,1292.0074005126953,17.018153595984565,0.8810083134517415,our,21.0
43,1702.1561737060547,15.820809565487444,0.8008877839871812,ucmr,21.0
44,1811.8072865804036,15.549683589320002,0.80757743186815,our,22.0
45,4453.7095133463545,11.643584734650974,0.6726554582418771,ucmr,22.0
46,3510.18679300944,12.677501330018718,0.8206759437723924,our,23.0
47,4432.1357981363935,11.664673024061612,0.7298864612794586,ucmr,23.0
48,6275.215362548828,10.154517256691644,0.7534690263364833,our,24.0
49,6521.909795125325,9.987055731060723,0.64551799301884,ucmr,24.0
50,923.7171223958334,18.47541366911492,0.9197833005400703,our,25.0
51,1034.2561442057292,17.984522512793617,0.8918900268658719,ucmr,25.0
52,4822.441411336263,11.298134008377174,0.8054362049260654,our,26.0
53,3793.1478678385415,12.340805877842582,0.780331747699472,ucmr,26.0
54,932.2194773356119,18.43562188241082,0.9128203877761822,our,27.0
55,2407.4889068603516,14.315160661930143,0.8126829463695536,ucmr,27.0
56,5096.43696085612,11.058137041871813,0.797557671335074,our,28.0
57,5546.443003336589,10.690658064409007,0.7156658690759269,ucmr,28.0
58,1460.1322784423828,16.486881590592777,0.8978638070687598,our,29.0
59,1160.0324198404949,17.48610234088334,0.8677270990104908,ucmr,29.0
60,1988.8861185709636,15.144704442553662,0.8508167157506848,our,30.0
