,mse,psnr,ssim,method,img_id
0,1086.2615152994792,17.77145967494489,0.9118142315331988,our,34.0
1,1640.5391235351562,15.98093768978622,0.8285901858205315,ucmr,34.0
2,2628.236358642578,13.934159418985715,0.8555513253741859,our,306.0
3,2325.398396809896,14.4658299215208,0.7849393450321124,ucmr,306.0
4,1215.7020365397136,17.282532166413013,0.7586239220893726,our,537.0
5,1924.9134012858074,15.286691647842702,0.6485517170419315,ucmr,537.0
6,535.3568216959635,20.84437019895536,0.8951356226619954,our,594.0
7,763.8671366373698,19.300625348094126,0.8288060903310502,ucmr,594.0
8,1153.7947591145833,17.509517989384424,0.8728537687757411,our,605.0
9,1553.5941263834636,16.21742790222153,0.7710475020854006,ucmr,605.0
10,3424.3778228759766,12.78498685079575,0.8438445686370509,our,610.0
11,3261.0584564208984,12.997217770041535,0.7684467148371509,ucmr,610.0
12,1739.6690928141277,15.726137130633713,0.9056208913312954,our,624.0
13,1716.3892262776692,15.784645810518128,0.8329612933366598,ucmr,624.0
14,2533.2496490478516,14.094023697108714,0.8491351900028219,our,633.0
15,2950.9911499023438,13.431124538262157,0.7689687719803064,ucmr,633.0
16,1646.604512532552,15.964910596033517,0.8114335289924165,our,1092.0
17,1510.9102274576824,16.33841699889562,0.7599926497789028,ucmr,1092.0
18,2102.8329722086587,14.902755827745136,0.8278053086657846,our,1148.0
19,2185.911636352539,14.734477588901543,0.7348716489120278,ucmr,1148.0
20,2310.7558085123696,14.493263074783439,0.8391650072042358,our,1158.0
21,2396.1800842285156,14.33560906646572,0.7636407848092505,ucmr,1158.0
22,1826.8343658447266,15.513811880422377,0.8483932564903353,our,1333.0
23,1603.6272989908855,16.079769201114576,0.7556436681835326,ucmr,1333.0
24,3288.8061726888022,12.960420819769812,0.8264572560711937,our,1398.0
25,3941.7542622884116,12.173908149627227,0.7001497983294955,ucmr,1398.0
26,3177.6958669026694,13.109680317619663,0.7833247559719817,our,1784.0
27,2900.3431498209634,13.506309770181456,0.6907025633994821,ucmr,1784.0
28,1470.5115407307942,16.456119236222154,0.8576677698051373,our,1828.0
29,1401.0040486653645,16.66640970542531,0.8017441093282054,ucmr,1828.0
30,2395.361399332682,14.337093141423047,0.8355354457119163,our,2039.0
31,1891.4661407470703,15.362817895020735,0.7785305975970974,ucmr,2039.0
32,2396.5269622802734,14.33498041454699,0.8249694045523622,our,2586.0
33,2416.3054555257163,14.299285264221187,0.7502883437310918,ucmr,2586.0
34,1850.567876180013,15.457753418448771,0.8237453181257907,our,2639.0
35,2229.8053283691406,14.648134119477863,0.729213899618539,ucmr,2639.0
36,2089.4784800211587,14.930424582555496,0.8527836184693172,our,2690.0
37,1801.5891723632812,15.574245978193325,0.7714110750696035,ucmr,2690.0
38,1861.0302276611328,15.433269336802828,0.8559928919910447,our,2769.0
39,1910.8816782633464,15.31846564481767,0.7751464870738835,ucmr,2769.0
40,1408.8202260335286,16.64224782820887,0.8412858293893217,our,2972.0
41,1426.6466420491536,16.58763942351448,0.7747214213088628,ucmr,2972.0
42,3358.5974629720054,12.869224052804597,0.8393215415528837,our,3083.0
43,4274.936543782552,11.821506883276058,0.71994309079623,ucmr,3083.0
44,1553.7037607828777,16.217121439072898,0.9081010751771049,our,3312.0
45,1932.5521697998047,15.26949134215267,0.8214496539745602,ucmr,3312.0
46,1266.7581837972004,17.103866421688807,0.8047631082695679,our,3322.0
47,1110.7422587076824,17.67467065749737,0.7274205330033272,ucmr,3322.0
48,589.2332305908203,20.427931293923884,0.9313322683339358,our,3890.0
49,808.3256123860677,19.05494020914206,0.8557439274705176,ucmr,3890.0
50,6844.536127726237,9.77736340683554,0.7492203067319356,our,4154.0
51,6967.075775146484,9.700298268441745,0.5817699940693237,ucmr,4154.0
52,1177.2998148600261,17.421932851457047,0.8763396913658384,our,4158.0
53,1251.643793741862,17.155996106062073,0.8327198238603684,ucmr,4158.0
54,2473.37326558431,14.197906986308153,0.87260592282288,our,4257.0
55,2291.0650685628257,14.530429371012602,0.8225535819446633,ucmr,4257.0
56,2265.840159098307,14.57851091028985,0.8407549657655379,our,4370.0
