,mse,psnr,ssim,method,img_id
34,3521.7848002115884,12.663175461293296,0.7845354488128984,our,50.0
35,3424.840850830078,12.784399658313454,0.6661415637530315,ucmr,50.0
36,978.6572113037109,18.224497602888327,0.9022824342287072,our,52.0
37,1290.614969889323,17.02283662670318,0.8160416772720365,ucmr,52.0
38,3196.6007029215493,13.083919702478026,0.7886452577612472,our,54.0
39,4341.699396769206,11.75420609654549,0.5926398089878098,ucmr,54.0
40,483.1659189860026,21.289840679500326,0.9419184564666492,our,58.0
41,750.9430491129557,19.374733591418263,0.8901022335740597,ucmr,58.0
42,3189.313725789388,13.09383118928913,0.8243656034223159,our,66.0
43,3052.827651977539,13.283780740628327,0.7415490948890944,ucmr,66.0
44,3189.6971638997397,13.093309086227832,0.8229933475984516,our,73.0
45,3221.625300089518,13.05005333650791,0.7195641649735159,ucmr,73.0
46,4520.891596476237,11.578562673741214,0.7101568463881698,our,77.0
47,4486.147379557292,11.612068238819742,0.6348242519505383,ucmr,77.0
48,2236.020523071289,14.636045755105423,0.8385734022099282,our,78.0
49,2301.0224100748696,14.511595125058896,0.7327163010580375,ucmr,78.0
50,1578.819371541341,16.14747914475888,0.9015394999946654,our,88.0
51,1633.8456013997395,15.998693476117428,0.8432557149962522,ucmr,88.0
52,5911.358988444011,10.413930266304748,0.7580636613764163,our,98.0
53,6042.116490681966,10.318912667474853,0.6614262623360702,ucmr,98.0
54,2387.104939778646,14.352088493747608,0.838865394082582,our,104.0
55,2765.886957804362,13.712459344095155,0.6974112172132326,ucmr,104.0
56,1330.2154591878254,16.89158370158115,0.8657660395090852,our,113.0
57,2183.7225036621094,14.738829112606659,0.7599376952994742,ucmr,113.0
58,2374.1689809163413,14.375687343420996,0.8603835506055152,our,114.0
59,2388.646733601888,14.349284358948635,0.8041725545798076,ucmr,114.0
60,1716.4207661946614,15.784566006439604,0.8632872593270585,our,118.0
61,2606.5159606933594,13.970199722456433,0.7676662387630625,ucmr,118.0
62,2804.0681762695312,13.652917922945056,0.8351407556172387,our,127.0
63,2314.5619303385415,14.486115552502854,0.7327735831155398,ucmr,127.0
64,4077.3836466471353,12.02698784126801,0.8215023247117884,our,132.0
65,5669.627838134766,10.595258087032335,0.6710308695699547,ucmr,132.0
66,3725.5637003580728,12.41888367425677,0.7779666307507784,our,136.0
67,3630.651107788086,12.530958440515565,0.6542370398036653,ucmr,136.0
68,2018.646275838216,15.080201359857499,0.8473463940566749,our,137.0
69,2578.6212056477866,14.016928110445608,0.6848025539506423,ucmr,137.0
70,881.6580912272135,18.677801633571768,0.8603859937681085,our,155.0
71,1171.6717681884766,17.44274395286113,0.8184420675920526,ucmr,155.0
72,1371.7685801188152,16.75799509595254,0.8473406962828376,our,167.0
73,1532.9788970947266,16.275441844469295,0.8031972319373178,ucmr,167.0
74,2250.8106638590493,14.60741396786804,0.8674961317068314,our,174.0
75,2341.0807749430337,14.43663962332824,0.8609895507905402,ucmr,174.0
76,2374.4173736572266,14.375232995163412,0.8374193072504365,our,179.0
77,2627.819768269857,13.934847854938823,0.73549501642912,ucmr,179.0
78,1883.1546986897786,15.381943626634166,0.8752956907769182,our,180.0
79,1923.2633463541667,15.29041605990879,0.8685976673286171,ucmr,180.0
80,4538.328872680664,11.561843967726526,0.8010888358042122,our,184.0
81,5254.96772257487,10.925103080489729,0.7427711472694224,ucmr,184.0
82,5035.963180541992,11.10997814679483,0.7946887971087886,our,186.0
